discreteSemanticEntropy,isAnswerCorrect,predictedAnswer,semanticClustering,trueCluster,usedPrompt
-0.0,False,"According to the US Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who:

* Have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.

(Note: A ""pack-year"" is defined as one pack of cigarettes per day for one year.)","[['According to the United States Preventive Services Task Force (USPSTF) guidelines, annual LDCT screening is recommended for lung cancer in adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history\n* Currently smoke or have quit within the past 15 years.', 'According to the US Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history and\n* Currently smoke or have quit within the past 15 years. \n\n(Source: USPSTF, Final Recommendation Statement, 2021)', 'According to the US Preventive Services Task Force (USPSTF), LDCT screening for lung cancer is recommended annually for adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the U.S. Preventive Services Task Force (USPSTF) guidelines, LDCT screening for lung cancer is recommended annually for adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history and\n* Currently smoke or have quit within the past 15 years.\n\nNote: A ""pack-year"" is defined as the number of packs smoked per day multiplied by the number of years smoked.', 'According to the current U.S. Preventive Services Task Force (USPSTF) guidelines, LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the U.S. Preventive Services Task Force (USPSTF) 2021 guidelines, annual LDCT screening for lung cancer is recommended for adults aged 50-80 years who:\n\n* Have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.\n\n(Note: A ""pack-year"" is defined as one pack of cigarettes per day for one year.)', 'According to the United States Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for lung cancer in adults aged 50-80 years who have a 20 pack-year smoking history and currently smoke or have quit within the past 15 years. (Source: USPSTF, 2021)', 'According to the United States Preventive Services Task Force (USPSTF), Low-Dose Computed Tomography (LDCT) screening is recommended for lung cancer in high-risk populations:\n\n* Age: 50-80 years\n* 20 pack-years or more of smoking history\n* Currently smoke or have quit within the past 15 years', 'According to the U.S. Preventive Services Task Force (USPSTF), annual LDCT screening is recommended for:\n\n* Adults aged 50-80 years\n* With a 20 pack-year smoking history and currently smoke or have quit within the past 15 years.\n\n(Note: These recommendations are based on the 2021 USPSTF guidelines)', 'According to the US Preventive Services Task Force (USPSTF), LDCT screening is recommended annually for:\n\n* Adults aged 50-80 years\n* Current or former smokers with a 20 pack-year smoking history and who currently smoke or have quit within the past 15 years\n* No symptoms of lung cancer\n\n(As of 2021 guidelines)']]",-1,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
When is low-dose CT (LDCT) screening recommended for lung cancer in high-risk populations?"
-0.0,True,"According to the United States Preventive Services Task Force (USPSTF) 2019 guidelines, one-time screening with ultrasound is recommended for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.","[['According to the U.S. Preventive Services Task Force (USPSTF), ultrasound is used as the primary method for screening for abdominal aortic aneurysm (AAA) in asymptomatic men aged 65-75 who have ever smoked.', 'According to the U.S. Preventive Services Task Force (USPSTF), ultrasound screening is recommended for men aged 65-75 years who have ever smoked, as it can help detect abdominal aortic aneurysms (AAAs). (Grade B recommendation)', 'According to the U.S. Preventive Services Task Force (USPSTF), ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.', 'According to the U.S. Preventive Services Task Force (USPSTF) guidelines, ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in asymptomatic men aged 65-75 years who have ever smoked.', 'According to the United States Preventive Services Task Force (USPSTF) 2019 guidelines, one-time ultrasound screening for abdominal aortic aneurysm (AAA) is recommended for men aged 65-75 years who have ever smoked.', 'According to the US Preventive Services Task Force (USPSTF) 2019 guidelines, one-time ultrasound screening for abdominal aortic aneurysm (AAA) is recommended for men aged 65-75 years who have ever smoked.', 'According to the U.S. Preventive Services Task Force (USPSTF), ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked, starting at age 65.', 'According to the United States Preventive Services Task Force (USPSTF) 2019 guidelines, one-time ultrasonography screening for abdominal aortic aneurysm (AAA) is recommended for men aged 65-75 years who have ever smoked. \n\nSource: USPSTF Final Recommendation Statement - Abdominal Aortic Aneurysm Screening', 'According to the United States Preventive Services Task Force (USPSTF), ultrasound is recommended as a one-time screening test for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked. (Grade B recommendation, 2014 guidelines).', 'According to the U.S. Preventive Services Task Force (USPSTF), one-time screening with ultrasonography is recommended for abdominal aortic aneurysm (AAA) in men aged 65-75 years who have ever smoked.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the role of ultrasound in screening for abdominal aortic aneurysm in men?"
-0.0,True,"According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis is:

* Ultrasound every 6 months. 

(Reference: AASLD Guidelines for the Diagnosis and Treatment of HCC, 2020)","[['According to the American Association for the Study of Liver Diseases (AASLD) guidelines, ultrasound (US) every 6 months is recommended as the first-line screening modality for hepatocellular carcinoma (HCC) in patients with cirrhosis.', 'According to the American Association for the Study of Liver Diseases (AASLD) 2018 guidelines, and reaffirmed by a 2022 AASLD expert consensus statement, ultrasound is recommended as the first-line imaging modality for HCC screening in patients with cirrhosis, every 6 months.', 'According to the American Association for the Study of Liver Diseases (AASLD), the current guideline recommends ultrasonography every 6 months for surveillance of HCC in patients with cirrhosis. \n\nSource: AASLD Guidelines for the Treatment of Hepatocellular Carcinoma, 2021.', 'According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis is:\n\n* Ultrasound every 6 months.', 'According to the American Association for the Study of Liver Diseases (AASLD), for patients with cirrhosis, the recommended screening for HCC involves:\n\n* Ultrasonography (US) every 6 months. \n\nSource: AASLD Guidelines for the Diagnosis and Treatment of Hepatocellular Carcinoma (HCC).', 'According to the American Association for the Study of Liver Diseases (AASLD) 2021 guidelines, ultrasound is recommended every 6 months as the first-line screening method for HCC in patients with cirrhosis.', 'According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis using imaging is:\n\n* Ultrasound every 6 months.', 'According to the American Association for the Study of Liver Diseases (AASLD), patients with cirrhosis should undergo ultrasound screening for hepatocellular carcinoma (HCC) every 6 months. (Source: AASLD Guidelines, 2018)', 'According to the American Association for the Study of Liver Diseases (AASLD), the recommended screening interval for HCC in patients with cirrhosis is:\n\n* Ultrasound (US) every 6 months. \n\n(No CT or MRI is recommended as a routine screening modality.)', 'According to the American Association for the Study of Liver Diseases (AASLD) guidelines, the recommended screening for hepatocellular carcinoma (HCC) in patients with cirrhosis is:\n\n* Ultrasound every 6 months.\n\nSource: AASLD Guidelines for the Screening and Diagnosis of HCC (2020).']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What is the screening recommendation in terms of imaging for hepatocellular carcinoma (HCC) in patients with cirrhosis?"
-0.0,True,"According to the American College of Radiology (ACR) Appropriateness Criteria (2019), for the evaluation of suspected osteonecrosis of the hip, radiographs (X-rays) are recommended as the initial imaging modality.","[['According to the American College of Radiology (ACR) Appropriateness Criteria (2019), for suspected osteonecrosis of the hip, plain radiography is recommended as the initial imaging modality.', 'According to the American College of Radiology (ACR) and the American Academy of Orthopaedic Surgeons (AAOS), plain radiographs (X-rays) are recommended as the initial imaging study for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, radiographs (X-rays) are recommended as the initial imaging study for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, radiographs are the initial imaging modality recommended for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2019), radiographs (X-rays) are recommended as the initial imaging modality for evaluating suspected osteonecrosis of the hip.', 'According to the current American College of Radiology (ACR) and American Academy of Orthopaedic Surgeons (AAOS) guidelines, radiographs (plain X-rays) are recommended as the initial imaging study for suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2020), plain radiographs are recommended as the initial imaging modality for suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2019), for suspected osteonecrosis of the hip, plain radiographs (X-rays) are recommended as the initial imaging evaluation.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2020), radiographs (X-rays) are the initial imaging recommendation for evaluating suspected osteonecrosis of the hip.', 'According to the American College of Radiology (ACR) Appropriateness Criteria (2019), radiographs are recommended as the initial imaging study for evaluating suspected osteonecrosis of the hip.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
For the evaluation of suspected osteonecrosis of the hip, what imaging modality is recommended first?"
-0.0,True,"According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.","[['According to the American College of Radiology (ACR) Appropriateness Criteria (2019), ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the American Academy of Pediatrics, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the American Pediatric Surgical Association (APSA), ultrasound is the recommended first-line imaging modality for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the American Academy of Pediatrics (AAP), ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound (US) is the first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, ultrasound (US) is the recommended first-line imaging study for suspected appendicitis in pediatric patients.', 'According to the American College of Radiology (ACR) and the Society for Pediatric Radiology, ultrasound is the first-line imaging modality for suspected appendicitis in pediatric patients.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging study is first-line for suspected appendicitis in pediatric patients?"
-0.0,True,"According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, cardiac MRI (CMR) is the recommended imaging modality for assessing right ventricular (RV) size and function in adult patients with congenital heart disease.","[['According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, CMR (Cardiac Magnetic Resonance) imaging is recommended for assessing right ventricular (RV) size and function in adult patients with congenital heart disease who have or are at risk of developing RV enlargement and dysfunction.', 'Cardiovascular Magnetic Resonance (CMR).', 'According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, cardiac MRI (CMR) is the recommended imaging modality for assessing right ventricular (RV) size and function in adult patients with congenital heart disease who have or are at risk of developing RV enlargement and dysfunction.', 'According to the 2018 American College of Cardiology/American Heart Association (ACC/AHA) guidelines, cardiac magnetic resonance imaging (CMR) is the recommended imaging modality for evaluating right ventricular (RV) size and function in adult patients with congenital heart disease.', 'According to the 2018 American College of Cardiology/American Heart Association (ACC/AHA) guidelines, cardiac magnetic resonance (CMR) imaging is recommended for assessment of right ventricular (RV) size and function in adult patients with congenital heart disease. (Class I recommendation)', 'According to the 2018 American College of Cardiology (ACC)/American Heart Association (AHA) Guidelines, Cardiac Magnetic Resonance Imaging (CMR) is recommended for adult patients with congenital heart disease who have or who are at risk of developing right ventricular (RV) enlargement and dysfunction.', 'Cardiovascular magnetic resonance (CMR) imaging. (Source: 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease)', 'According to the 2018 ACC/AHA Guidelines, Cardiac MRI (CMR) is recommended as the preferred imaging modality.', 'Cardiac MRI (CMR) is recommended. (Source: ACC/AHA 2018 Guidelines)', 'According to the 2018 AHA/ACC Guideline for the Management of Adults With Congenital Heart Disease, cardiac MRI (CMR) is the recommended imaging modality for evaluating right ventricular (RV) size and function in adult patients with congenital heart disease.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality is recommended for adult patients with congenital heart disease who have or who are at risk of developing RV enlargement and dysfunction?"
-0.0,True,"According to the American Thoracic Society (ATS) and the European Respiratory Society (ERS), High-Resolution Computed Tomography (HRCT) is the recommended imaging modality for the evaluation of suspected bronchiectasis.","[['High-resolution computed tomography (HRCT) of the chest is recommended for the evaluation of suspected bronchiectasis, according to guidelines from the American Thoracic Society and other reputable sources.', 'According to the current American College of Radiology (ACR) and American Thoracic Society (ATS) guidelines, High-Resolution Computed Tomography (HRCT) is the recommended imaging modality for the evaluation of suspected bronchiectasis.', 'According to current US-American guidelines, High-Resolution Computed Tomography (HRCT) is the recommended imaging modality for the evaluation of suspected bronchiectasis.', 'High-resolution computed tomography (HRCT) is recommended for the evaluation of suspected bronchiectasis. (ATS/ERS Guidelines, 2019)', 'According to the American College of Radiology (ACR) and the Fleischner Society, High-Resolution Computed Tomography (HRCT) of the chest is the recommended imaging modality for the evaluation of suspected bronchiectasis.', 'According to the American Thoracic Society (ATS) guidelines, high-resolution computed tomography (HRCT) is the recommended imaging modality for the evaluation of suspected bronchiectasis.', 'According to the current American College of Radiology (ACR) Appropriateness Criteria, High-Resolution Computed Tomography (HRCT) of the chest is the recommended imaging modality for the evaluation of suspected bronchiectasis.', 'High-resolution computed tomography (HRCT) is recommended for the evaluation of suspected bronchiectasis, according to the American Thoracic Society and the European Respiratory Society.', 'According to the American College of Radiology (ACR) and the Fleischner Society, High-Resolution Computed Tomography (HRCT) is the recommended imaging modality for the evaluation of suspected bronchiectasis.', 'According to the current American Thoracic Society (ATS) guidelines, High-resolution computed tomography (HRCT) of the chest is the recommended imaging modality for evaluating suspected bronchiectasis.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What imaging modality is recommended for the evaluation of suspected bronchiectasis?"
0.14118174150460758,False,"According to the American Association for the Study of Liver Diseases (AASLD) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:

1. Failure of endoscopic and medical management of acute variceal bleeding.
2. Early rebleeding or inability to control bleeding despite endoscopic and medical therapy.","[['According to the American Association for the Study of Liver Diseases (AASLD) and the American Gastroenterological Association (AGA), the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure of medical and endoscopic treatment to control acute variceal hemorrhage.\n2. Early rebleeding or recurrence of variceal hemorrhage despite adequate medical and endoscopic management.\n\nSource: AASLD Practice Guidelines, 2014; AGA Clinical Guideline, 2020.', 'According to current American Association for the Study of Liver Diseases (AASLD) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure to control acute variceal bleeding despite endoscopic and medical therapy.\n2. Early rebleeding within 5 days of an initial bleed.', 'According to the American Association for the Study of Liver Diseases (AASLD) and other current US guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure to control acute variceal hemorrhage despite endoscopic and pharmacologic therapy.\n2. Early rebleeding after an initial episode of variceal hemorrhage.', 'According to current AASLD (American Association for the Study of Liver Diseases) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure of endoscopic and pharmacologic therapy to control acute variceal bleeding.\n2. Early rebleeding or inability to achieve hemostasis after initial treatment.', 'According to the American Association for the Study of Liver Diseases (AASLD) and American Gastroenterological Association (AGA), the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure of endoscopic and pharmacologic therapy to control acute variceal hemorrhage.\n2. Recurrent variceal bleeding despite adequate endoscopic and medical management.\n\nSource: AASLD Practice Guidelines, AGA Clinical Practice Update', 'According to the American Association for the Study of Liver Diseases (AASLD) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Acute variceal bleeding that is not controlled by endoscopic and medical therapy.\n2. Early rebleeding after an initial episode of variceal bleeding, also known as ""early rebleeders"".', 'According to current American Association for the Study of Liver Diseases (AASLD) and American College of Gastroenterology (ACG) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure to control bleeding despite endoscopic and medical management.\n2. Early rebleeding after initial hemostasis.\n\nSource: 2020 AASLD Practice Guidance on the Management of Varices and Variceal Hemorrhage in Cirrhosis', 'According to current AASLD (American Association for the Study of Liver Diseases) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Acute variceal bleeding that cannot be controlled by endoscopic and/or pharmacological methods.\n2. Early rebleeding after initial control of acute variceal bleeding, indicating failure of first-line therapy.', 'According to current American Association for the Study of Liver Diseases (AASLD) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Failure of endoscopic and medical management to control acute variceal bleeding.\n2. Early rebleeding after initial control of bleeding despite endoscopic and medical therapy.'], ['According to the American Association for the Study of Liver Diseases (AASLD) guidelines, the two most common indications for Transjugular Intrahepatic Portosystemic Shunt (TIPS) in patients with variceal bleeding are:\n\n1. Early rebleeding or failure to control bleeding despite endoscopic and pharmacologic therapy.\n2. Recurrent variceal bleeding that is difficult to manage endoscopically, particularly if the patient has Child-Pugh class C cirrhosis or early signs of liver dysfunction.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
What are the 2 most common indications for TIPS in patients with variceal bleeding?"
0.14118174150460758,True,"According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended next step for diagnosing scaphoid fractures when initial X-rays are negative.","[['According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended next step in imaging for suspected scaphoid fractures with negative initial X-rays.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended next step for diagnosing a suspected scaphoid fracture when initial X-rays are negative.', 'According to the American College of Radiology (ACR) and the American Academy of Orthopaedic Surgeons (AAOS), MRI is the recommended next step when initial X-rays are negative for suspected scaphoid fracture.', 'According to the American College of Radiology (ACR) and the American Academy of Orthopaedic Surgeons (AAOS), MRI is the recommended imaging modality for diagnosing occult scaphoid fractures when initial X-rays are negative.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended next step for suspected scaphoid fractures with negative initial X-rays.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the preferred next step for diagnosing scaphoid fractures when initial X-rays are negative.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended imaging modality for diagnosing scaphoid fractures when initial X-rays are negative.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended imaging modality for diagnosing occult scaphoid fractures when initial X-rays are negative.', 'According to the American College of Radiology (ACR) Appropriateness Criteria, MRI is the recommended imaging modality for diagnosing occult scaphoid fractures when initial X-rays are negative.'], ['MRI (Magnetic Resonance Imaging) is the recommended next step for diagnosing scaphoid fractures with negative initial X-rays, according to the American College of Radiology (ACR) and the American Academy of Orthopaedic Surgeons (AAOS).']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality is indicated for the diagnosis of scaphoid fracture when initial X-rays are negative?"
0.348225372857224,False,"According to the National Comprehensive Cancer Network (NCCN) Guidelines, Version 2.2022, for Pancreatic Adenocarcinoma:

* Contrast-enhanced computed tomography (CT) of the abdomen and pelvis with a pancreas protocol is recommended for primary staging.

Specifically:
- Thin-section CT scans (<5 mm)
- Arterial and venous phases
- Oral and intravenous contrast","[['According to the current American Joint Committee on Cancer (AJCC) and National Comprehensive Cancer Network (NCCN) guidelines, high-quality multiphase contrast-enhanced computed tomography (CT) of the abdomen with pancreas protocol is recommended for primary staging in pancreatic adenocarcinoma.', 'According to the National Comprehensive Cancer Network (NCCN) Guidelines Version 2.2022, for primary staging of pancreatic adenocarcinoma:\n\n* Contrast-enhanced CT scan of the abdomen with pancreas protocol is recommended.', 'According to the National Comprehensive Cancer Network (NCCN) guidelines, version 3.2022:\n\nContrast-enhanced multiphasic computed tomography (CT) of the abdomen and pelvis with pancreas protocol is recommended for primary staging in pancreatic adenocarcinoma.\n\nSpecifically: \n\n* Thin-section (<5 mm) CT images are recommended\n* Imaging during multiple phases (e.g., arterial, venous, delayed)\n* Use of intravenous contrast agent', 'According to the National Comprehensive Cancer Network (NCCN) Guidelines, Version 2.2022, for Pancreatic Adenocarcinoma:\n\nContrast-enhanced CT scan of the abdomen and pelvis with a pancreatic protocol is recommended for primary staging in pancreatic adenocarcinoma.\n\n(References: NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines) for Pancreatic Adenocarcinoma, Version 2.2022.)', 'According to the National Comprehensive Cancer Network (NCCN) guidelines, version 2.2022:\n\nContrast-enhanced helical CT scan of the abdomen and pelvis with a pancreatic protocol is the recommended imaging modality for primary staging in pancreatic adenocarcinoma.', 'According to the National Comprehensive Cancer Network (NCCN) Guidelines, Version 3.2022:\n\n* CT scan of the abdomen and pelvis with intravenous contrast is recommended for primary staging of pancreatic adenocarcinoma.\n\nSpecifically, a triphasic CT scan protocol is suggested:\n1. Non-contrast phase\n2. Arterial phase ( pancreatic phase)\n3. Venous phase', 'According to the current National Comprehensive Cancer Network (NCCN) Guidelines (Version 2.2022), the recommended imaging modalities for primary staging in pancreatic adenocarcinoma are:\n\n* Multiphasic contrast-enhanced computed tomography (CT) scan with thin slices, including:\n\t+ Non-contrast phase\n\t+ Arterial phase (30-40 seconds after injection)\n\t+ Venous phase (60-70 seconds after injection)\n\nNote: Magnetic Resonance Imaging (MRI) or positron emission tomography (PET)-CT may be considered in specific situations, but CT is the primary modality.'], ['According to the current National Comprehensive Cancer Network (NCCN) guidelines, the recommended imaging modalities for primary staging of pancreatic adenocarcinoma are:\n\n* High-quality contrast-enhanced computed tomography (CT) scan with a pancreatic protocol.\n* Magnetic Resonance Imaging (MRI) can be considered as an alternative or complementary modality.\n\nSpecifically, the CT protocol should include:\n* Thin-section imaging (<5 mm) in arterial and venous phases.', 'According to the National Comprehensive Cancer Network (NCCN) guidelines, version 2.2022:\n\n* The recommended imaging modality for primary staging of pancreatic adenocarcinoma is CT or MRI.\n* Specifically:\n\t+ A triphasic CT scan of the abdomen and pelvis with IV contrast is preferred.\n\t+ MRI may be considered as an alternative to CT in patients who cannot undergo CT scanning.'], ['According to the current American College of Radiology (ACR) and Society of Abdominal Radiology (SAR) guidelines, contrast-enhanced multi-detector row computed tomography (CT) with a pancreas-specific imaging protocol is recommended for primary staging in pancreatic adenocarcinoma.']]",0,"Please refer to the currently valid US-american guidelines and answer as short and precise as possible. Do not give information that is not explicitly asked for in the question.
Which imaging modality and protocol is recommended for primary staging in pancreatic adenocarcinoma?"
